ppt_id,rt,logRT,idx,idx_c
d0okld4mx0cqnhs,931,6.836259277277067,13,2
d0okld4mx0cqnhs,948,6.854354502255021,14,3
d0okld4mx0cqnhs,1521,7.327123292259293,15,4
d0okld4mx0cqnhs,1737,7.459914766241105,16,5
d0okld4mx0cqnhs,842,6.7357800142423265,17,6
d0okld4mx0cqnhs,800,6.684611727667927,18,7
d0okld4mx0cqnhs,713,6.569481420414296,19,8
d0okld4mx0cqnhs,3057,8.025189321890835,20,9
d0okld4mx0cqnhs,1607,7.382124365737512,21,10
fxamgpt7p2bhyc3,670,6.507277712385012,1,-10
fxamgpt7p2bhyc3,632,6.448889394146858,2,-9
fxamgpt7p2bhyc3,1351,7.208600337960199,3,-8
fxamgpt7p2bhyc3,693,6.541029999189903,4,-7
fxamgpt7p2bhyc3,628,6.4425401664681985,5,-6
fxamgpt7p2bhyc3,792,6.674561391814426,6,-5
fxamgpt7p2bhyc3,1609,7.3833681469923835,7,-4
fxamgpt7p2bhyc3,1534,7.335633981927201,8,-3
fxamgpt7p2bhyc3,991,6.898714534329988,9,-2
fxamgpt7p2bhyc3,1436,7.269616749608169,10,-1
fxamgpt7p2bhyc3,786,6.666956792429207,11,0
fxamgpt7p2bhyc3,796,6.679599185844383,12,1
fxamgpt7p2bhyc3,770,6.646390514847729,13,2
fxamgpt7p2bhyc3,740,6.606650186198215,14,3
fxamgpt7p2bhyc3,612,6.416732282512326,15,4
fxamgpt7p2bhyc3,503,6.220590170099739,16,5
fxamgpt7p2bhyc3,603,6.401917196727186,17,6
fxamgpt7p2bhyc3,4145,8.329658067569396,18,7
fxamgpt7p2bhyc3,791,6.673297967767654,19,8
fxamgpt7p2bhyc3,745,6.61338421837956,20,9
fxamgpt7p2bhyc3,1671,7.421177528595393,21,10
m37ld3ujmswhlgh,2134,7.665753431861699,1,-10
m37ld3ujmswhlgh,1177,7.0707241072602764,2,-9
m37ld3ujmswhlgh,1729,7.455298485683291,3,-8
m37ld3ujmswhlgh,4194,8.341410211461865,4,-7
m37ld3ujmswhlgh,1113,7.014814351275545,5,-6
m37ld3ujmswhlgh,3022,8.013674142832684,6,-5
m37ld3ujmswhlgh,765,6.639875833826536,7,-4
m37ld3ujmswhlgh,681,6.523562306149512,8,-3
m37ld3ujmswhlgh,1104,7.00669522683704,9,-2
m37ld3ujmswhlgh,1246,7.1276936993473985,10,-1
m37ld3ujmswhlgh,891,6.792344427470809,11,0
m37ld3ujmswhlgh,1370,7.222566018822171,12,1
m37ld3ujmswhlgh,559,6.326149473155099,13,2
m37ld3ujmswhlgh,629,6.444131256700441,14,3
m37ld3ujmswhlgh,844,6.7381524945959574,15,4
m37ld3ujmswhlgh,941,6.846943139585379,16,5
m37ld3ujmswhlgh,1819,7.506042178518122,17,6
m37ld3ujmswhlgh,950,6.856461984594587,18,7
